algorithm,benchmark,dim,seed,best_fitness,fe_used
O-PSO,Rastrigin,10,5,9.949585533113833,20000
O-PSO,Rastrigin,10,6,22.883952154295486,20000
O-PSO,Rastrigin,10,7,8.954621438201457,20000
O-PSO,Rastrigin,10,8,6.96471339965305,20000
O-PSO,Rastrigin,10,9,4.974795285466456,20000
O-PSO,Rastrigin,10,10,4.974790247647377,20000
O-PSO,Rastrigin,10,11,5.969754342559753,20000
O-PSO,Rastrigin,10,12,14.92437074294213,20000
O-PSO,Rastrigin,10,13,6.964708361833971,20000
O-PSO,Rastrigin,10,14,6.964708361833971,20000
O-PSO,Rastrigin,10,15,4.974795285466456,20000
O-PSO,Rastrigin,10,16,6.964708361833971,20000
O-PSO,Rastrigin,10,17,5.969754342561714,20000
O-PSO,Rastrigin,10,18,15.919329800035428,20000
O-PSO,Rastrigin,10,19,7.959667418927268,20000
O-PSO,Rastrigin,10,20,14.92437074294213,20000
O-PSO,Rastrigin,10,21,5.969754342559753,20000
O-PSO,Rastrigin,10,22,8.954626476020536,20000
O-PSO,Rastrigin,10,23,5.969754342559753,20000
O-PSO,Rastrigin,10,24,16.91426866041428,20000
O-PSO,Rastrigin,10,25,16.91426866041425,20000
O-PSO,Rastrigin,10,26,20.894120047682804,20000
O-PSO,Rastrigin,10,27,11.939498609481348,20000
O-PSO,Rastrigin,10,28,13.929411685850795,20000
O-PSO,Rastrigin,10,29,8.954626476020536,20000
AO-PSO,Rastrigin,10,0,0.0,20003
AO-PSO,Rastrigin,10,1,0.0,20001
AO-PSO,Rastrigin,10,2,0.0,20022
AO-PSO,Rastrigin,10,3,0.0,20015
AO-PSO,Rastrigin,10,4,0.0,20019
AO-PSO,Rastrigin,10,5,0.0,20009
AO-PSO,Rastrigin,10,6,0.0,20012
AO-PSO,Rastrigin,10,7,0.0,20018
AO-PSO,Rastrigin,10,8,0.0,20020
AO-PSO,Rastrigin,10,9,0.0,20009
AO-PSO,Rastrigin,10,10,0.0,20022
AO-PSO,Rastrigin,10,11,0.0,20012
AO-PSO,Rastrigin,10,12,0.0,20020
AO-PSO,Rastrigin,10,13,0.0,20008
AO-PSO,Rastrigin,10,14,0.0,20020
AO-PSO,Rastrigin,10,15,0.0,20020
